Date,Monthly Close
2011-10-31,6.9135
2011-11-30,7.0274
2011-12-31,7.0979
2012-01-31,7.2145
2012-02-29,7.4205
2012-03-31,7.5615
2012-04-30,7.5534
2012-05-31,7.2660
2012-06-30,7.5263
2012-07-31,7.7106
2012-08-31,7.7567
2012-09-30,7.8506
2012-10-31,7.7769
2012-11-30,7.8124
2012-12-31,7.7387
2013-01-31,8.1674
2013-02-28,8.3394
2013-03-31,8.6807
2013-04-30,8.9401
2013-05-31,9.0658
2013-06-30,8.9911
2013-07-31,9.4036
2013-08-31,9.0709
2013-09-30,9.3146
2013-10-31,9.7796
2013-11-30,10.0287
2013-12-31,10.1478
2014-01-31,9.6966
2014-02-28,10.0730
2014-03-31,10.2701
2014-04-30,10.4568
2014-05-31,10.5962
2014-06-30,10.7402
2014-07-31,10.5550
2014-08-31,10.9170
2014-09-30,10.8216
2014-10-31,11.0349
2014-11-30,11.3633
2014-12-31,11.2604
2015-01-31,10.9100
2015-02-28,11.4808
2015-03-31,11.1361
2015-04-30,11.2208
2015-05-31,11.2773
2015-06-30,10.8196
2015-07-31,10.8959
2015-08-31,10.3166
2015-09-30,10.1584
2015-10-31,11.0485
2015-11-30,11.0795
2015-12-31,10.9742
2016-01-31,10.7237
2016-02-29,10.8034
2016-03-31,11.4096
2016-04-30,11.3897
2016-05-31,11.5490
2016-06-30,11.7938
2016-07-31,12.1296
2016-08-31,12.0898
2016-09-30,12.1120
2016-10-31,11.9231
2016-11-30,12.3124
2016-12-31,12.5862
2017-01-31,12.5256
2017-02-28,12.9531
2017-03-31,12.8780
2017-04-30,12.9098
2017-05-31,13.1351
2017-06-30,13.1225
2017-07-31,13.3408
2017-08-31,13.3379
2017-09-30,13.7177
2017-10-31,14.2131
2017-11-30,14.8110
2017-12-31,14.9986
2018-01-31,15.6816
2018-02-28,14.7993
2018-03-31,14.3714
2018-04-30,14.2101
2018-05-31,14.4652
2018-06-30,14.5659
2018-07-31,15.2279
2018-08-31,15.5766
2018-09-30,15.7701
2018-10-31,14.8387
2018-11-30,15.3386
2018-12-31,14.0914
2019-01-31,14.9434
2019-02-28,15.5494
2019-03-31,15.6844
2019-04-30,16.1884
2019-05-31,14.9584
2019-06-30,15.9214
2019-07-31,16.1854
2019-08-31,15.9754
2019-09-30,16.5820
2019-10-31,16.8060
2019-11-30,17.2812
2019-12-31,17.6759
2020-01-31,17.3646
2020-02-29,15.7411
2020-03-31,13.7269
2020-04-30,15.4573
2020-05-31,16.0280
2020-06-30,15.7930
2020-07-31,16.6292
2020-08-31,17.4806
2020-09-30,16.8764
2020-10-31,16.9404
2020-11-30,19.1713
2020-12-31,19.5741
2021-01-31,19.3971
2021-02-28,20.5721
2021-03-31,22.2536
2021-04-30,22.7449
2021-05-31,23.4774
2021-06-30,23.0776
2021-07-31,23.2271
2021-08-31,23.7124
2021-09-30,22.6564
2021-10-31,23.6544
2021-11-30,23.1691
2021-12-31,24.8641
2022-01-31,24.1843
2022-02-28,23.7167
2022-03-31,24.4266
2022-04-30,23.4203
2022-05-31,24.3337
2022-06-30,22.3978
2022-07-31,23.2733
2022-08-31,22.6386
2022-09-30,20.9599
2022-10-31,23.3105
2022-11-30,24.9038
2022-12-31,23.8342
2023-01-31,24.3296
2023-02-28,23.5219
2023-03-31,23.2754
2023-04-30,23.0877
2023-05-31,22.1396
2023-06-30,23.3171
2023-07-31,24.2932
2023-08-31,23.9303
2023-09-30,22.9243
2023-10-31,22.0496
2023-11-30,23.4395
2023-12-31,24.9173
2024-01-31,24.9533
2024-02-29,25.4115
2024-03-31,26.3902
2024-04-30,25.1988
2024-05-31,25.7159
2024-06-30,25.4508
2024-07-31,27.0284
2024-08-31,27.6666
2024-09-30,27.6666
2024-10-31,27.7190
2024-11-30,28.9955
2024-12-31,27.0757
2025-01-31,27.5811
2025-02-28,28.2847
2025-03-31,27.9600
2025-04-30,25.8200
2025-05-31,26.4200
