label_group,count
562358068,51
994676122,51
159351600,51
1163569239,51
1141798720,51
3113678103,51
3627744656,51
3206118280,49
1166650192,46
1733221456,46
1091404026,45
3489985175,41
1237550763,37
1746655739,36
2008989859,35
452508504,35
4184214313,35
731330024,35
871679006,34
66247839,34
1575763518,34
952183003,33
2259957740,33
3001123709,33
2999794436,32
3926100920,32
2935813666,32
656698835,31
1226500780,31
997220911,30
1201602115,27
821583868,26
3717044186,25
3868183614,25
1135976474,24
3326267479,24
2156459496,23
3040690230,23
1306578136,23
927285629,23
3441184770,22
1569494229,22
4141124289,22
418991059,22
2123332638,22
777596345,22
1065450055,21
1544174053,21
1744240905,21
1088754866,21
2956941947,21
2911646536,21
2748623227,20
4038613836,20
4277487223,20
1285119273,20
962477933,20
3433277712,20
2684150012,19
3565023295,19
1983510531,19
1529085103,19
2910074820,19
1664573953,18
3379486410,18
1821875388,18
3768186621,18
709353370,18
2974535963,17
3586500603,17
1268201436,17
53859343,17
1776011373,17
3149716162,17
163505030,17
3395604817,17
4018561560,17
772217144,16
1514327608,16
414776066,16
4166375360,16
4198148727,16
1673669565,16
378982106,16
417125601,16
986496525,16
1702933755,16
2992055559,16
1809363506,16
2609303586,16
3853135440,15
3493797951,15
2315452163,15
1261987196,15
2602613399,15
899136538,15
377021214,15
2406884704,15
3728839338,15
1740805730,15
794316241,15
2168147177,15
713416067,15
2823893370,15
2494171542,15
420878019,15
2937525435,15
3566010337,15
597742640,15
3361632985,14
1142038310,14
2866022569,14
2050565864,14
1918908464,14
1317491259,14
3299506042,14
828252369,14
4159594295,14
1130629555,14
3308317766,14
3741723479,14
2599759870,14
3604334178,14
871224117,14
309010310,14
996959929,14
1497898739,14
718843702,14
2399065173,13
1815555102,13
3145779110,13
502970099,13
2876907483,13
1182222496,13
22285547,13
479122246,13
2943190190,13
348693451,13
3064334528,13
4054467630,13
1434986601,13
837990024,13
3815469593,13
1666545703,13
117919900,13
1707910864,13
40040342,13
2377831355,13
1905943612,13
596811522,13
2497751413,13
1406531816,13
3185007248,13
1680535208,13
164698800,13
2403374241,13
4140108713,12
2155479250,12
710388512,12
4000267419,12
2294565205,12
2718759617,12
2842683453,12
3671426872,12
1322597928,12
35254803,12
1322749330,12
3798330592,12
896178400,12
1099725405,12
2675366031,12
645628,12
978062057,12
1251645465,12
4021769601,12
32960388,12
2338504085,12
1089805460,12
3752568601,12
2784788129,12
3185044263,12
2253967885,12
2714598596,12
3000792516,12
1035128795,12
2722794324,12
1963142010,12
844992190,12
3924088631,12
3050187782,12
2628699139,12
2457457611,12
3269146847,12
1356633425,12
1221416124,12
359918838,11
4292520070,11
538550380,11
2007706703,11
834544767,11
3936490926,11
1347996816,11
874403178,11
2367461313,11
4240123481,11
4152958882,11
2204481244,11
3336851015,11
2092002172,11
2415538143,11
2256121048,11
682082741,11
2134514629,11
804601457,11
3205175747,11
1483976313,11
3293988036,11
1664178674,11
4287268706,11
1794962291,11
3900306665,11
640260500,11
1364967438,11
16933527,11
1715041013,11
1695363826,11
1542179482,11
1958306891,11
579435501,11
98248312,11
4189236082,11
1301527687,11
2595278679,11
2773427352,10
2169544552,10
4216958894,10
3215053587,10
3083543407,10
2932987408,10
2625952212,10
3904189995,10
3524625930,10
2242170808,10
320286773,10
803317615,10
798247050,10
973593276,10
3075806009,10
157683903,10
122550860,10
59413042,10
2945967054,10
2288149440,10
3658963802,10
1779297273,10
2878821825,10
1986364708,10
224611800,10
4070501594,10
572895732,10
3916074380,10
3979333992,10
2172855737,10
2142919313,10
4094795400,10
2067627521,10
2294899207,10
796281588,10
1121516338,10
1176059503,10
2685099437,10
1160103344,10
2389001198,10
4269595669,10
3246242698,10
3813608589,10
1378438916,10
3547938707,10
1705608239,10
582022491,10
275813572,10
2885113223,9
1208307773,9
1054099358,9
2651025355,9
1996577230,9
3302214602,9
388684396,9
3740972720,9
157527441,9
3659553730,9
1662841908,9
3202957389,9
3374387802,9
3239439580,9
3155491468,9
1601035878,9
2073398389,9
3794298816,9
587285122,9
2591192196,9
1206055512,9
2830799273,9
3024671252,9
3779562915,9
1207189719,9
3121045148,9
4214786091,9
1019858566,9
3820915938,9
3489758020,9
1367471899,9
834066355,9
728791874,9
1999386573,9
1043565100,9
1040329336,9
2789809344,9
1380466784,9
4245771399,9
3062268608,9
4101248785,9
3565319599,9
544315614,9
3184487800,9
2145882222,9
3494512671,9
2633817001,9
3545922522,9
2401169789,9
300437540,9
293434992,9
4078682972,9
3173062641,9
2481155656,9
373674159,9
1765818203,9
4237830533,9
1101059032,9
3339789097,9
4069163835,9
462212371,9
2843883548,9
3691942796,9
2122968520,9
1764481177,9
3498630557,9
3323080982,9
2108322384,9
1104651492,9
3814390525,9
1039178864,9
3568247382,9
1679308428,9
1274738046,9
284754035,9
237739865,9
557171178,9
2233323999,9
3325918244,9
1148817877,9
1332568669,9
610137613,9
1799186935,9
2187173784,9
1964914740,9
2637814870,9
1045293852,9
621907710,9
234286799,9
2747024747,9
3632326453,9
3365517875,8
2701575241,8
3595152414,8
1300007930,8
353612559,8
1264436581,8
3091690960,8
171721650,8
3886317357,8
3084987355,8
2047392365,8
2518689634,8
3213608540,8
1776453982,8
3202711315,8
1931494374,8
351551078,8
4223656537,8
3538328817,8
4224340559,8
3619569844,8
3358622735,8
2565533507,8
3959821353,8
2068945199,8
1553075002,8
4283975118,8
1719174086,8
1003252496,8
3127658454,8
381098976,8
2062263771,8
1752054615,8
3587150050,8
3785697100,8
2699450457,8
277181139,8
3893786536,8
3480387908,8
4017558054,8
3524864138,8
2808351940,8
3193912394,8
3499914946,8
650812621,8
1169876123,8
3628121668,8
655689466,8
2531010975,8
683092869,8
1166175991,8
1381597103,8
2820713094,8
3602809108,8
568475868,8
2558633431,8
1910606719,8
2980580336,8
2923960299,8
1121466002,8
2043850607,8
227001881,8
2676957285,8
1221129663,8
3166170968,8
2912212709,8
392699942,8
191946414,8
1443514486,8
1583258854,8
3797937447,8
296475017,8
2463157749,8
4207666680,8
2520693002,8
3361848919,8
16448490,8
2687645468,8
3222645954,8
2514727778,8
2752809601,8
3670999034,8
2793128682,8
2126962532,8
2478430102,8
9079959,8
1623932098,8
710702403,8
447873549,8
287044397,8
3351412170,8
1907964787,8
2093032547,8
2769479131,8
1677189623,8
196929574,8
148719785,8
281151013,8
1590500659,8
1837648468,8
3227121134,8
2076605315,8
1660954169,8
1729454608,8
3332994000,8
189449324,8
3046430399,8
3027798817,8
1082203745,8
3445494442,8
3170475874,8
1702554643,8
444007069,8
1745016863,8
2329618093,8
349297863,8
3710262094,8
3485440553,8
612013449,7
1010522046,7
2285573787,7
2602533565,7
3416183195,7
2094330878,7
3908416576,7
1868822738,7
2889106060,7
1301393497,7
3319724566,7
3216433143,7
2557300142,7
169470278,7
2221409971,7
2935461270,7
1333574565,7
2380085497,7
852765968,7
1081921532,7
3309830291,7
3021441210,7
1666719316,7
2803363809,7
1490335536,7
1423655715,7
2300621997,7
4228787858,7
172574479,7
3484362115,7
540189442,7
1370938760,7
2910731327,7
486399472,7
373863554,7
2599895504,7
3974007601,7
1742550190,7
3735684299,7
2111685755,7
3418578881,7
351339216,7
2362252012,7
630889498,7
941180455,7
3427955335,7
2314234752,7
4116684863,7
1674683146,7
3035635302,7
317365383,7
179508880,7
2386318710,7
1929952991,7
227608576,7
2269502085,7
1171952010,7
2441662411,7
591338133,7
1768089225,7
2176913327,7
375771768,7
3080175352,7
2992828829,7
829820311,7
1332051433,7
98002181,7
2270136417,7
2931545858,7
1812216242,7
975789094,7
69923982,7
863127146,7
2418158256,7
2167993092,7
2539384016,7
1289868198,7
2022276255,7
1746756468,7
1751912741,7
1187614415,7
24168270,7
213095167,7
3141130737,7
3927768774,7
1322783678,7
3423419034,7
1401540089,7
825845944,7
1503170656,7
975885187,7
1518645034,7
1465130755,7
2835868861,7
4195021957,7
2945881516,7
144384016,7
58377970,7
1111259106,7
327189920,7
4204571891,7
2161670443,7
4043327914,7
3840077899,7
3349661367,7
3521930254,7
3527837949,7
1000644922,7
2903956460,7
3085147105,7
4044205497,7
469790690,7
219382266,7
3572202767,7
871931738,7
3310127204,7
791476097,7
226461911,7
3859736226,7
1957515419,7
2167497065,7
259006220,7
4226111444,7
217144336,7
1931898332,7
1835033137,7
4081219855,7
888065430,7
4014703453,7
2964440663,7
631365480,7
1852813054,7
2404069120,7
3102159163,7
981370797,7
3853326780,7
663005453,7
3188098177,7
2702674511,7
3655187198,7
2157253857,7
2538637925,7
3764168832,7
3142856809,7
3178142572,7
1033589203,7
1071020646,7
436095484,7
1385441259,7
333597397,7
3731662312,7
2999553837,7
2428643661,7
1186806654,7
1032307497,6
690457988,6
3863446626,6
3893832039,6
1743339350,6
3785269500,6
3861748824,6
2528145322,6
3163376679,6
160508292,6
3472190399,6
3353200223,6
2334699089,6
2889392509,6
2582032586,6
3729011877,6
535095116,6
1127243882,6
338620322,6
2702435837,6
1935599983,6
2740876823,6
692289450,6
2770620676,6
2091049617,6
2877270869,6
2780113851,6
402149138,6
2916181532,6
1517086716,6
71375986,6
294940702,6
2681632456,6
2169377336,6
3115028838,6
726670779,6
1699836001,6
3455485784,6
1911010635,6
2116482719,6
1334396542,6
2044385334,6
3250698869,6
2864178368,6
3967663824,6
412112378,6
21546494,6
2239040770,6
3479259768,6
628096071,6
3784808595,6
944479978,6
2623425952,6
1887467014,6
1295587510,6
3560918382,6
2225545214,6
1564720949,6
2196920644,6
2493236254,6
1036330570,6
3036742364,6
